(x) (t) (teta) (y)
50 37.6 -39.1636 69.9019
50 37.7 -39.2869 69.6837
50 37.8 -39.4101 69.4802
50 37.9 -39.5334 69.2922
50 38 -39.6566 69.1205
50 38.1 -39.7799 68.9653
50 38.2 -39.9031 68.8268
50 38.3 -40.0264 68.7048
50 38.4 -40.1496 68.5992
50 38.5 -40.2729 68.5099
50 38.6 -40.3961 68.437
50 38.7 -40.5194 68.381
50 38.8 -40.6426 68.3425
50 38.9 -40.7659 68.3221
50 39 -40.8891 68.3201
50 39.1 -41.0123 68.3366
50 39.2 -41.1356 68.3713
50 39.3 -41.2588 68.4236
50 39.4 -41.3821 68.4929
50 39.5 -41.5053 68.5787
50 39.6 -41.6286 68.6808
50 39.7 -41.7518 68.7992
50 39.8 -41.8751 68.9342
50 39.9 -41.9983 69.0858
50 40 -42.1216 69.254
50 40.1 -42.2448 69.4385
50 40.2 -42.3681 69.6387
50 40.3 -42.4913 69.8538
50 40.4 -42.6146 70.0828
50 40.5 -42.7378 70.3244
50 40.6 -42.8611 70.5766
50 40.7 -42.9843 70.8367
50 40.7999 -43.1076 71.1002
50 40.8999 -43.2308 71.3608
50 40.9999 -43.354 71.6101
50 41.0999 -43.4773 71.8378
50 41.1999 -43.6005 72.0327
50 41.2999 -43.7238 72.1836
50 41.3999 -43.847 72.281
50 41.4999 -43.9703 72.3184
50 41.5999 -44.0935 72.2931
50 41.6999 -44.2168 72.207
50 41.7999 -44.34 72.0659
50 41.8999 -44.4633 71.8788
50 41.9999 -44.5865 71.6565
50 42.0999 -44.7098 71.4106
50 42.1999 -44.833 71.1515
50 42.2999 -44.9563 70.8879
50 42.3999 -45.0795 70.6268
50 42.4999 -45.2028 70.3728
50 42.5999 -45.326 70.129
50 42.6999 -45.4493 69.8974
50 42.7999 -45.5725 69.6795
50 42.8999 -45.6958 69.4763
50 42.9999 -45.819 69.2887
50 43.0999 -45.9422 69.1173
50 43.1999 -46.0655 68.9624
50 43.2999 -46.1887 68.8242
50 43.3999 -46.312 68.7026
50 43.4999 -46.4352 68.5973
50 43.5999 -46.5585 68.5083
50 43.6999 -46.6817 68.4358
50 43.7999 -46.805 68.3801
50 43.8999 -46.9282 68.342
50 43.9999 -47.0515 68.3219
50 44.0999 -47.1747 68.3203
50 44.1999 -47.298 68.3371
50 44.2999 -47.4212 68.3721
50 44.3999 -47.5445 68.4248
50 44.4999 -47.6677 68.4944
50 44.5999 -47.791 68.5805
50 44.6999 -47.9142 68.683
50 44.7999 -48.0374 68.8017
50 44.8999 -48.1607 68.937
50 44.9999 -48.2839 69.0889
50 45.0999 -48.4072 69.2575
50 45.1999 -48.5304 69.4423
50 45.2999 -48.6537 69.6428
50 45.3999 -48.7769 69.8582
50 45.4999 -48.9002 70.0875
50 45.5999 -49.0234 70.3292
